id;session_id;multiplier;win_15;win_20;avg_15;avg_20;ev_15;ev_20;signal;ev_15_2.0;ev_20_2.0;;
35;S1;2.34;1;1;87%;60%;30%;-10%;1;73%;20%;;
36;S1;60.91;1;1;87%;60%;30%;-10%;1;73%;20%;;
37;S1;15.73;1;1;80%;60%;20%;-10%;1;60%;20%;;
38;S1;6.4;1;1;73%;55%;10%;-18%;1;47%;10%;;
39;S1;2.32;1;1;67%;50%;0%;-25%;0;33%;0%;;
40;S1;1.9;1;0;60%;50%;-10%;-25%;0;20%;0%;;
41;S1;3.77;1;1;60%;55%;-10%;-18%;1;20%;10%;;
42;S1;1.76;1;0;60%;50%;-10%;-25%;0;20%;0%;;
43;S1;2.72;1;1;53%;55%;-20%;-18%;0;7%;10%;;
44;S1;7.8;1;1;47%;55%;-30%;-18%;0;-7%;10%;;
45;S1;1.37;0;0;47%;50%;-30%;-25%;0;-7%;0%;;
46;S1;11.05;1;1;53%;55%;-20%;-18%;0;7%;10%;;
47;S1;1.48;0;0;47%;50%;-30%;-25%;0;-7%;0%;;
48;S1;6.27;1;1;53%;55%;-20%;-18%;0;7%;10%;;
49;S1;7.53;1;1;53%;50%;-20%;-25%;0;7%;0%;;
50;S1;6.77;1;1;53%;50%;-20%;-25%;0;7%;0%;;
51;S1;1.05;0;0;53%;50%;-20%;-25%;0;7%;0%;;
52;S1;1.05;0;0;60%;50%;-10%;-25%;0;20%;0%;;
53;S1;1.35;0;0;67%;50%;0%;-25%;0;33%;0%;;
54;S1;1.2;0;0;67%;50%;0%;-25%;0;33%;0%;;
55;S1;6.24;1;1;73%;50%;10%;-25%;0;47%;0%;;
56;S1;2.98;1;1;73%;45%;10%;-33%;0;47%;-10%;;
57;S1;1.04;0;0;67%;40%;0%;-40%;0;33%;-20%;;
58;S1;1.35;0;0;73%;40%;10%;-40%;0;47%;-20%;;
59;S1;8.45;1;1;73%;40%;10%;-40%;0;47%;-20%;;
60;S1;2.22;1;1;67%;35%;0%;-48%;0;33%;-30%;;
61;S1;1;0;0;60%;35%;-10%;-48%;0;20%;-30%;;
62;S1;4.61;1;1;67%;40%;0%;-40%;0;33%;-20%;;
63;S1;4.42;1;1;60%;40%;-10%;-40%;0;20%;-20%;;
64;S1;1.99;1;0;53%;40%;-20%;-40%;0;7%;-20%;;
65;S1;2.02;1;1;53%;45%;-20%;-33%;0;7%;-10%;;
66;S1;1.9;1;0;53%;45%;-20%;-33%;0;7%;-10%;;
67;S1;3.36;1;1;53%;50%;-20%;-25%;0;7%;0%;;
68;S1;1.16;0;0;53%;50%;-20%;-25%;0;7%;0%;;
69;S1;17.18;1;1;60%;55%;-10%;-18%;1;20%;10%;;
70;S1;51.65;1;1;60%;55%;-10%;-18%;1;20%;10%;;
71;S1;1.41;0;0;60%;55%;-10%;-18%;1;20%;10%;;
72;S1;1.53;1;0;67%;60%;0%;-10%;1;33%;20%;;
73;S1;1.01;0;0;67%;60%;0%;-10%;1;33%;20%;;
74;S1;1.2;0;0;73%;60%;10%;-10%;1;47%;20%;;
75;S1;1.41;0;0;80%;60%;20%;-10%;1;60%;20%;;
76;S1;1.52;1;0;87%;60%;30%;-10%;1;73%;20%;;
77;S1;1.14;0;0;87%;60%;30%;-10%;1;73%;20%;;
78;S1;1.4;0;0;87%;60%;30%;-10%;1;73%;20%;;
79;S1;1.77;1;0;93%;60%;40%;-10%;1;87%;20%;;
80;S1;2.15;1;1;87%;60%;30%;-10%;1;73%;20%;;
81;S1;3.09;1;1;87%;60%;30%;-10%;1;73%;20%;;
82;S1;2.54;1;1;80%;55%;20%;-18%;1;60%;10%;;
83;S1;2.32;1;1;73%;50%;10%;-25%;0;47%;0%;;
84;S1;299.41;1;1;67%;50%;0%;-25%;0;33%;0%;;
85;S1;6.29;1;1;67%;50%;0%;-25%;0;33%;0%;;
86;S1;6.84;1;1;67%;50%;0%;-25%;0;33%;0%;;
87;S1;2.9;1;1;60%;45%;-10%;-33%;0;20%;-10%;;
88;S1;13.63;1;1;53%;40%;-20%;-40%;0;7%;-20%;;
89;S1;4.14;1;1;53%;40%;-20%;-40%;0;7%;-20%;;
90;S1;2.2;1;1;53%;35%;-20%;-48%;0;7%;-30%;;
91;S1;3.42;1;1;53%;35%;-20%;-48%;0;7%;-30%;;
92;S1;1.29;0;0;53%;35%;-20%;-48%;0;7%;-30%;;
93;S1;1.7;1;0;53%;35%;-20%;-48%;0;7%;-30%;;
94;S1;1.06;0;0;53%;35%;-20%;-48%;0;7%;-30%;;
95;S1;1.88;1;0;53%;35%;-20%;-48%;0;7%;-30%;;
96;S1;1.3;0;0;53%;40%;-20%;-40%;0;7%;-20%;;
97;S1;1.08;0;0;60%;40%;-10%;-40%;0;20%;-20%;;
98;S1;1;0;0;67%;40%;0%;-40%;0;33%;-20%;;
99;S1;1.95;1;0;67%;45%;0%;-33%;0;33%;-10%;;
100;S1;2.67;1;1;60%;45%;-10%;-33%;0;20%;-10%;;
101;S1;1.34;0;0;60%;45%;-10%;-33%;0;20%;-10%;;
102;S1;1.32;0;0;60%;50%;-10%;-25%;0;20%;0%;;
103;S1;2.11;1;1;67%;55%;0%;-18%;1;33%;10%;;
104;S1;7.61;1;1;67%;50%;0%;-25%;0;33%;0%;;
105;S1;5.38;1;1;60%;50%;-10%;-25%;0;20%;0%;;
106;S1;1.87;1;0;60%;45%;-10%;-33%;0;20%;-10%;;
107;S1;1.13;0;0;60%;50%;-10%;-25%;0;20%;0%;;
108;S1;4;1;1;67%;55%;0%;-18%;1;33%;10%;;
109;S1;1.12;0;0;67%;55%;0%;-18%;1;33%;10%;;
110;S1;7;1;1;73%;55%;10%;-18%;1;47%;10%;;
111;S1;3.19;1;1;67%;50%;0%;-25%;0;33%;0%;;
112;S1;1.94;1;0;67%;45%;0%;-33%;0;33%;-10%;;
113;S1;1.12;0;0;67%;45%;0%;-33%;0;33%;-10%;;
114;S1;1.32;0;0;73%;45%;10%;-33%;0;47%;-10%;;
115;S1;8.83;1;1;73%;45%;10%;-33%;0;47%;-10%;;
116;S1;1.41;0;0;73%;40%;10%;-40%;0;47%;-20%;;
117;S1;1.97;1;0;73%;40%;10%;-40%;0;47%;-20%;;
118;S1;2.49;1;1;67%;40%;0%;-40%;0;33%;-20%;;
119;S1;1.23;0;0;60%;35%;-10%;-48%;0;20%;-30%;;
120;S1;4.62;1;1;60%;35%;-10%;-48%;0;20%;-30%;;
121;S1;5.96;1;1;53%;30%;-20%;-55%;0;7%;-40%;;
122;S1;2.15;1;1;53%;25%;-20%;-63%;0;7%;-50%;;
123;S1;1.64;1;0;47%;25%;-30%;-63%;0;-7%;-50%;;
124;S1;58.54;1;1;47%;25%;-30%;-63%;0;-7%;-50%;;
125;S1;1.42;0;0;40%;20%;-40%;-70%;0;-20%;-60%;;
126;S1;4.46;1;1;40%;25%;-40%;-63%;0;-20%;-50%;;
127;S1;10.41;1;1;33%;20%;-50%;-70%;0;-33%;-60%;;
128;S1;2.03;1;1;33%;15%;-50%;-78%;0;-33%;-70%;;
129;S1;1;0;0;27%;15%;-60%;-78%;0;-47%;-70%;;
130;S1;1.74;1;0;27%;15%;-60%;-78%;0;-47%;-70%;;
131;S1;1.05;0;0;27%;20%;-60%;-70%;0;-47%;-60%;;
132;S1;1.16;0;0;27%;20%;-60%;-70%;0;-47%;-60%;;
133;S1;1.19;0;0;27%;20%;-60%;-70%;0;-47%;-60%;;
134;S1;1.45;0;0;33%;25%;-50%;-63%;0;-33%;-50%;;
135;S1;1.06;0;0;40%;30%;-40%;-55%;0;-20%;-40%;;
136;S1;1.66;1;0;47%;35%;-30%;-48%;0;-7%;-30%;;
137;S1;1.29;0;0;40%;40%;-40%;-40%;0;-20%;-20%;;
138;S1;1.72;1;0;47%;40%;-30%;-40%;0;-7%;-20%;;
139;S1;1.43;0;0;47%;45%;-30%;-33%;0;-7%;-10%;;
140;S1;1.33;0;0;53%;50%;-20%;-25%;0;7%;0%;;
141;S1;1.24;0;0;60%;55%;-10%;-18%;1;20%;10%;;
142;S1;2.39;1;1;67%;55%;0%;-18%;1;33%;10%;;
143;S1;1.17;0;0;67%;55%;0%;-18%;1;33%;10%;;
144;S1;1.19;0;0;73%;55%;10%;-18%;1;47%;10%;;
145;S1;2.31;1;1;80%;60%;20%;-10%;1;60%;20%;;
146;S1;1.24;0;0;80%;55%;20%;-18%;1;60%;10%;;
147;S1;1.33;0;0;80%;55%;20%;-18%;1;60%;10%;;
148;S1;3.72;1;1;87%;60%;30%;-10%;1;73%;20%;;
149;S1;1.91;1;0;80%;60%;20%;-10%;1;60%;20%;;
150;S1;10.7;1;1;80%;65%;20%;-3%;1;60%;30%;;
151;S1;1.04;0;0;73%;60%;10%;-10%;1;47%;20%;;
152;S1;1.67;1;0;73%;65%;10%;-3%;1;47%;30%;;
153;S1;4.95;1;1;73%;70%;10%;5%;1;47%;40%;;
154;S1;2.27;1;1;73%;70%;10%;5%;1;47%;40%;;
155;S1;3.52;1;1;73%;70%;10%;5%;1;47%;40%;;
156;S1;9.71;1;1;73%;65%;10%;-3%;1;47%;30%;;
157;S1;1.71;1;0;73%;65%;10%;-3%;1;47%;30%;;
158;S1;447.63;1;1;73%;70%;10%;5%;1;47%;40%;;
159;S1;3.45;1;1;73%;70%;10%;5%;1;47%;40%;;
160;S1;5;1;1;73%;70%;10%;5%;1;47%;40%;;
161;S1;1.21;0;0;73%;65%;10%;-3%;1;47%;30%;;
162;S1;7.43;1;1;80%;70%;20%;5%;1;60%;40%;;
163;S1;1.3;0;0;80%;70%;20%;5%;1;60%;40%;;
164;S1;2.44;1;1;87%;75%;30%;13%;1;73%;50%;;
165;S1;1.3;0;0;87%;70%;30%;5%;1;73%;40%;;
166;S1;1.23;0;0;87%;70%;30%;5%;1;73%;40%;;
167;S1;2.53;1;1;93%;70%;40%;5%;1;87%;40%;;
168;S1;5.74;1;1;93%;65%;40%;-3%;1;87%;30%;;
169;S1;5.49;1;1;93%;65%;40%;-3%;1;87%;30%;;
170;S1;1.54;1;0;87%;65%;30%;-3%;1;73%;30%;;
171;S1;2.44;1;1;80%;65%;20%;-3%;1;60%;30%;;
172;S1;2.54;1;1;73%;65%;10%;-3%;1;47%;30%;;
173;S1;3.88;1;1;73%;60%;10%;-10%;1;47%;20%;;
174;S1;2.44;1;1;73%;60%;10%;-10%;1;47%;20%;;
175;S1;1.5;1;0;73%;60%;10%;-10%;1;47%;20%;;
176;S1;2.42;1;1;67%;65%;0%;-3%;1;33%;30%;;
177;S1;2.85;1;1;67%;60%;0%;-10%;1;33%;20%;;
178;S1;3.56;1;1;60%;55%;-10%;-18%;1;20%;10%;;
179;S1;2;1;1;60%;50%;-10%;-25%;0;20%;0%;;
180;S1;1.14;0;0;60%;45%;-10%;-33%;0;20%;-10%;;
181;S1;10.22;1;1;67%;45%;0%;-33%;0;33%;-10%;;
182;S1;3.88;1;1;60%;45%;-10%;-33%;0;20%;-10%;;
183;S1;5.21;1;1;53%;45%;-20%;-33%;0;7%;-10%;;
184;S1;1;0;0;47%;40%;-30%;-40%;0;-7%;-20%;;
185;S1;1.22;0;0;47%;45%;-30%;-33%;0;-7%;-10%;;
186;S1;1.11;0;0;47%;50%;-30%;-25%;0;-7%;0%;;
187;S1;1.68;1;0;53%;55%;-20%;-18%;0;7%;10%;;
188;S1;3.56;1;1;53%;55%;-20%;-18%;0;7%;10%;;
189;S1;2.17;1;1;47%;50%;-30%;-25%;0;-7%;0%;;
190;S1;1.08;0;0;47%;50%;-30%;-25%;0;-7%;0%;;
191;S1;2.04;1;1;53%;55%;-20%;-18%;0;7%;10%;;
192;S1;1.44;0;0;53%;50%;-20%;-25%;0;7%;0%;;
193;S1;3.91;1;1;53%;50%;-20%;-25%;0;7%;0%;;
194;S1;15.81;1;1;53%;45%;-20%;-33%;0;7%;-10%;;
195;S1;4.99;1;1;53%;40%;-20%;-40%;0;7%;-20%;;
196;S1;1.45;0;0;53%;35%;-20%;-48%;0;7%;-30%;;
197;S1;1.39;0;0;60%;40%;-10%;-40%;0;20%;-20%;;
198;S1;1.01;0;0;60%;40%;-10%;-40%;0;20%;-20%;;
199;S1;1.19;0;0;67%;40%;0%;-40%;0;33%;-20%;;
200;S1;1.47;0;0;67%;40%;0%;-40%;0;33%;-20%;;
201;S2;6.96;1;1;67%;45%;0%;-33%;0;33%;-10%;;
202;S2;2.34;1;1;67%;45%;0%;-33%;0;33%;-10%;;
203;S2;1.48;0;0;60%;40%;-10%;-40%;0;20%;-20%;;
204;S2;6.5;1;1;60%;40%;-10%;-40%;0;20%;-20%;;
205;S2;8.31;1;1;53%;40%;-20%;-40%;0;7%;-20%;;
206;S2;27.02;1;1;53%;40%;-20%;-40%;0;7%;-20%;;
207;S2;1.45;0;0;53%;40%;-20%;-40%;0;7%;-20%;;
208;S2;1.56;1;0;60%;40%;-10%;-40%;0;20%;-20%;;
209;S2;2.79;1;1;53%;45%;-20%;-33%;0;7%;-10%;;
210;S2;3.91;1;1;53%;45%;-20%;-33%;0;7%;-10%;;
211;S2;1.6;1;0;53%;45%;-20%;-33%;0;7%;-10%;;
212;S2;1.11;0;0;53%;45%;-20%;-33%;0;7%;-10%;;
213;S2;1.89;1;0;53%;45%;-20%;-33%;0;7%;-10%;;
214;S2;1.31;0;0;53%;45%;-20%;-33%;0;7%;-10%;;
215;S2;1.21;0;0;60%;45%;-10%;-33%;0;20%;-10%;;
216;S2;7.5;1;1;67%;45%;0%;-33%;0;33%;-10%;;
217;S2;1.04;0;0;60%;45%;-10%;-33%;0;20%;-10%;;
218;S2;1.29;0;0;67%;45%;0%;-33%;0;33%;-10%;;
219;S2;1.38;0;0;67%;45%;0%;-33%;0;33%;-10%;;
220;S2;4.89;1;1;67%;50%;0%;-25%;0;33%;0%;;
221;S2;4.84;1;1;60%;50%;-10%;-25%;0;20%;0%;;
222;S2;1.76;1;0;60%;45%;-10%;-33%;0;20%;-10%;;
223;S2;1.45;0;0;53%;50%;-20%;-25%;0;7%;0%;;
224;S2;2.07;1;1;53%;50%;-20%;-25%;0;7%;0%;;
225;S2;2.03;1;1;53%;50%;-20%;-25%;0;7%;0%;;
226;S2;3.37;1;1;53%;50%;-20%;-25%;0;7%;0%;;
227;S2;1.12;0;0;47%;50%;-30%;-25%;0;-7%;0%;;
228;S2;2.67;1;1;53%;55%;-20%;-18%;0;7%;10%;;
229;S2;2.33;1;1;47%;50%;-30%;-25%;0;-7%;0%;;
230;S2;2.96;1;1;47%;50%;-30%;-25%;0;-7%;0%;;
231;S2;1.44;0;0;47%;45%;-30%;-33%;0;-7%;-10%;;
232;S2;1.78;1;0;53%;45%;-20%;-33%;0;7%;-10%;;
233;S2;1;0;0;53%;50%;-20%;-25%;0;7%;0%;;
234;S2;1.18;0;0;53%;50%;-20%;-25%;0;7%;0%;;
235;S2;1.16;0;0;60%;50%;-10%;-25%;0;20%;0%;;
236;S2;3.1;1;1;60%;55%;-10%;-18%;1;20%;10%;;
237;S2;1.11;0;0;60%;55%;-10%;-18%;1;20%;10%;;
238;S2;1.18;0;0;67%;55%;0%;-18%;1;33%;10%;;
239;S2;5.15;1;1;73%;60%;10%;-10%;1;47%;20%;;
240;S2;2.21;1;1;67%;55%;0%;-18%;1;33%;10%;;
241;S2;1.04;0;0;67%;55%;0%;-18%;1;33%;10%;;
242;S2;2.04;1;1;73%;55%;10%;-18%;1;47%;10%;;
243;S2;1.31;0;0;67%;50%;0%;-25%;0;33%;0%;;
244;S2;13.49;1;1;73%;50%;10%;-25%;0;47%;0%;;
245;S2;54.42;1;1;67%;50%;0%;-25%;0;33%;0%;;
246;S2;75.44;1;1;67%;45%;0%;-33%;0;33%;-10%;;
247;S2;4.82;1;1;67%;40%;0%;-40%;0;33%;-20%;;
248;S2;1.05;0;0;60%;35%;-10%;-48%;0;20%;-30%;;
249;S2;4.14;1;1;60%;40%;-10%;-40%;0;20%;-20%;;
250;S2;1.41;0;0;60%;35%;-10%;-48%;0;20%;-30%;;
251;S2;1.95;1;0;60%;35%;-10%;-48%;0;20%;-30%;;
252;S2;3.03;1;1;60%;35%;-10%;-48%;0;20%;-30%;;
253;S2;1.54;1;0;53%;35%;-20%;-48%;0;7%;-30%;;
254;S2;1.44;0;0;53%;35%;-20%;-48%;0;7%;-30%;;
255;S2;2.59;1;1;53%;35%;-20%;-48%;0;7%;-30%;;
256;S2;3.18;1;1;53%;30%;-20%;-55%;0;7%;-40%;;
257;S2;1.07;0;0;53%;25%;-20%;-63%;0;7%;-50%;;
258;S2;2.29;1;1;60%;30%;-10%;-55%;0;20%;-40%;;
259;S2;1.35;0;0;53%;30%;-20%;-55%;0;7%;-40%;;
260;S2;3.22;1;1;60%;30%;-10%;-55%;0;20%;-40%;;
261;S2;1.73;1;0;53%;30%;-20%;-55%;0;7%;-40%;;
262;S2;1.24;0;0;47%;30%;-30%;-55%;0;-7%;-40%;;
263;S2;1.43;0;0;53%;30%;-20%;-55%;0;7%;-40%;;
264;S2;3.34;1;1;60%;35%;-10%;-48%;0;20%;-30%;;
265;S2;1.11;0;0;53%;30%;-20%;-55%;0;7%;-40%;;
266;S2;1.98;1;0;60%;35%;-10%;-48%;0;20%;-30%;;
267;S2;1.3;0;0;53%;40%;-20%;-40%;0;7%;-20%;;
268;S2;2.92;1;1;60%;45%;-10%;-33%;0;20%;-10%;;
269;S2;1.47;0;0;60%;45%;-10%;-33%;0;20%;-10%;;
270;S2;1.63;1;0;67%;45%;0%;-33%;0;33%;-10%;;
271;S2;1.87;1;0;67%;45%;0%;-33%;0;33%;-10%;;
272;S2;2.18;1;1;67%;45%;0%;-33%;0;33%;-10%;;
273;S2;1;0;0;67%;40%;0%;-40%;0;33%;-20%;;
274;S2;1.97;1;0;73%;45%;10%;-33%;0;47%;-10%;;
275;S2;1.15;0;0;67%;50%;0%;-25%;0;33%;0%;;
276;S2;1.15;0;0;67%;50%;0%;-25%;0;33%;0%;;
277;S2;4.29;1;1;73%;50%;10%;-25%;0;47%;0%;;
278;S2;7.26;1;1;67%;50%;0%;-25%;0;33%;0%;;
279;S2;1.23;0;0;67%;45%;0%;-33%;0;33%;-10%;;
280;S2;19.45;1;1;73%;50%;10%;-25%;0;47%;0%;;
281;S2;1;0;0;67%;45%;0%;-33%;0;33%;-10%;;
282;S2;1.76;1;0;67%;45%;0%;-33%;0;33%;-10%;;
283;S2;2.72;1;1;67%;45%;0%;-33%;0;33%;-10%;;
284;S2;1.82;1;0;60%;40%;-10%;-40%;0;20%;-20%;;
285;S2;4.13;1;1;60%;45%;-10%;-33%;0;20%;-10%;;
286;S2;4.29;1;1;53%;45%;-20%;-33%;0;7%;-10%;;
287;S2;2.57;1;1;47%;45%;-30%;-33%;0;-7%;-10%;;
288;S2;9.05;1;1;40%;45%;-40%;-33%;0;-20%;-10%;;
289;S2;1.36;0;0;33%;40%;-50%;-40%;0;-33%;-20%;;
290;S2;1.49;0;0;40%;40%;-40%;-40%;0;-20%;-20%;;
291;S2;1.56;1;0;47%;40%;-30%;-40%;0;-7%;-20%;;
292;S2;1;0;0;47%;40%;-30%;-40%;0;-7%;-20%;;
293;S2;3.19;1;1;53%;40%;-20%;-40%;0;7%;-20%;;
294;S2;3.44;1;1;47%;40%;-30%;-40%;0;-7%;-20%;;
295;S2;1.01;0;0;40%;35%;-40%;-48%;0;-20%;-30%;;
296;S2;1.03;0;0;40%;40%;-40%;-40%;0;-20%;-20%;;
297;S2;5.83;1;1;47%;40%;-30%;-40%;0;-7%;-20%;;
298;S2;1.18;0;0;47%;40%;-30%;-40%;0;-7%;-20%;;
299;S2;4.09;1;1;53%;45%;-20%;-33%;0;7%;-10%;;
300;S2;1.27;0;0;47%;45%;-30%;-33%;0;-7%;-10%;;
301;S2;1.31;0;0;53%;50%;-20%;-25%;0;7%;0%;;
302;S2;1.46;0;0;60%;55%;-10%;-18%;1;20%;10%;;
303;S2;1.01;0;0;67%;55%;0%;-18%;1;33%;10%;;
304;S2;18.45;1;1;73%;60%;10%;-10%;1;47%;20%;;
305;S2;3.47;1;1;73%;55%;10%;-18%;1;47%;10%;;
306;S2;19.87;1;1;73%;50%;10%;-25%;0;47%;0%;;
307;S2;6.34;1;1;73%;45%;10%;-33%;0;47%;-10%;;
308;S2;1;0;0;73%;45%;10%;-33%;0;47%;-10%;;
309;S2;1.26;0;0;80%;50%;20%;-25%;0;60%;0%;;
310;S2;1.11;0;0;80%;50%;20%;-25%;0;60%;0%;;
311;S2;1.86;1;0;80%;55%;20%;-18%;1;60%;10%;;
312;S2;1.88;1;0;73%;60%;10%;-10%;1;47%;20%;;
313;S2;5.2;1;1;73%;60%;10%;-10%;1;47%;20%;;
314;S2;1.27;0;0;73%;55%;10%;-18%;1;47%;10%;;
315;S2;9.9;1;1;73%;55%;10%;-18%;1;47%;10%;;
316;S2;1.77;1;0;73%;50%;10%;-25%;0;47%;0%;;
317;S2;9.4;1;1;73%;55%;10%;-18%;1;47%;10%;;
318;S2;3.32;1;1;73%;55%;10%;-18%;1;47%;10%;;
319;S2;6.47;1;1;67%;55%;0%;-18%;1;33%;10%;;
320;S2;2.23;1;1;67%;55%;0%;-18%;1;33%;10%;;
321;S2;4.72;1;1;60%;50%;-10%;-25%;0;20%;0%;;
322;S2;1.95;1;0;60%;50%;-10%;-25%;0;20%;0%;;
323;S2;3.22;1;1;60%;55%;-10%;-18%;1;20%;10%;;
324;S2;1.23;0;0;60%;50%;-10%;-25%;0;20%;0%;;
325;S2;1;0;0;67%;55%;0%;-18%;1;33%;10%;;
326;S2;1.07;0;0;67%;55%;0%;-18%;1;33%;10%;;
327;S2;8816.13;1;1;73%;55%;10%;-18%;1;47%;10%;;
328;S2;3.35;1;1;73%;55%;10%;-18%;1;47%;10%;;
329;S2;1.44;0;0;73%;55%;10%;-18%;1;47%;10%;;
330;S2;7.3;1;1;80%;55%;20%;-18%;1;60%;10%;;
331;S2;2.14;1;1;80%;50%;20%;-25%;0;60%;0%;;
332;S2;1.85;1;0;73%;50%;10%;-25%;0;47%;0%;;
333;S2;1.21;0;0;73%;55%;10%;-18%;1;47%;10%;;
334;S2;1.58;1;0;80%;55%;20%;-18%;1;60%;10%;;
335;S2;1;0;0;80%;55%;20%;-18%;1;60%;10%;;
336;S2;2.75;1;1;87%;60%;30%;-10%;1;73%;20%;;
337;S2;3.35;1;1;87%;60%;30%;-10%;1;73%;20%;;
338;S2;6.18;1;1;87%;55%;30%;-18%;1;73%;10%;;
339;S2;3.61;1;1;87%;55%;30%;-18%;1;73%;10%;;
340;S2;1;0;0;80%;50%;20%;-25%;0;60%;0%;;
341;S2;13.14;1;1;87%;55%;30%;-18%;1;73%;10%;;
342;S2;5.4;1;1;87%;55%;30%;-18%;1;73%;10%;;
343;S2;1.89;1;0;87%;50%;30%;-25%;0;73%;0%;;
344;S2;34.88;1;1;87%;55%;30%;-18%;1;73%;10%;;
345;S2;1.92;1;0;80%;50%;20%;-25%;0;60%;0%;;
346;S2;1;0;0;80%;55%;20%;-18%;1;60%;10%;;
347;S2;106.28;1;1;87%;55%;30%;-18%;1;73%;10%;;
348;S2;4.64;1;1;80%;50%;20%;-25%;0;60%;0%;;
349;S2;1.82;1;0;80%;45%;20%;-33%;0;60%;-10%;;
350;S2;1.66;1;0;73%;50%;10%;-25%;0;47%;0%;;
351;S2;4.44;1;1;73%;55%;10%;-18%;1;47%;10%;;
352;S2;3.02;1;1;67%;50%;0%;-25%;0;33%;0%;;
353;S2;1.5;1;0;60%;50%;-10%;-25%;0;20%;0%;;
354;S2;1.02;0;0;53%;55%;-20%;-18%;0;7%;10%;;
355;S2;2.67;1;1;60%;60%;-10%;-10%;1;20%;20%;;
356;S2;18.3;1;1;60%;55%;-10%;-18%;1;20%;10%;;
357;S2;1.66;1;0;53%;50%;-20%;-25%;0;7%;0%;;
358;S2;3.03;1;1;53%;50%;-20%;-25%;0;7%;0%;;
359;S2;1.44;0;0;53%;45%;-20%;-33%;0;7%;-10%;;
360;S2;2.89;1;1;60%;50%;-10%;-25%;0;20%;0%;;
361;S2;11.86;1;1;60%;50%;-10%;-25%;0;20%;0%;;
362;S2;1.12;0;0;60%;50%;-10%;-25%;0;20%;0%;;
363;S2;2.36;1;1;60%;50%;-10%;-25%;0;20%;0%;;
364;S2;1.11;0;0;53%;50%;-20%;-25%;0;7%;0%;;
365;S2;2.13;1;1;60%;50%;-10%;-25%;0;20%;0%;;
366;S2;1.19;0;0;60%;45%;-10%;-33%;0;20%;-10%;;
367;S2;1;0;0;67%;45%;0%;-33%;0;33%;-10%;;
368;S2;1.01;0;0;73%;50%;10%;-25%;0;47%;0%;;
369;S2;3.05;1;1;80%;50%;20%;-25%;0;60%;0%;;
370;S2;2.66;1;1;73%;50%;10%;-25%;0;47%;0%;;
371;S2;1.22;0;0;67%;50%;0%;-25%;0;33%;0%;;
372;S2;3.52;1;1;67%;55%;0%;-18%;1;33%;10%;;
373;S2;4.59;1;1;67%;50%;0%;-25%;0;33%;0%;;
374;S2;20.2;1;1;67%;45%;0%;-33%;0;33%;-10%;;
375;S2;1.93;1;0;67%;45%;0%;-33%;0;33%;-10%;;
376;S2;1.93;1;0;67%;50%;0%;-25%;0;33%;0%;;
377;S2;1.17;0;0;67%;50%;0%;-25%;0;33%;0%;;
378;S2;1.32;0;0;67%;55%;0%;-18%;1;33%;10%;;
379;S2;2.93;1;1;67%;60%;0%;-10%;1;33%;20%;;
380;S2;2.65;1;1;67%;55%;0%;-18%;1;33%;10%;;
381;S2;13.31;1;1;67%;55%;0%;-18%;1;33%;10%;;
382;S2;1.8;1;0;67%;50%;0%;-25%;0;33%;0%;;
